intersection,r1,g1,b1,p1,r2,g2,b2,p2,r3,g3,b3,p3
1,1,0,0,0.8,1,1,0,0.2,1,0,1,0.0
2,1,0,0,0.3,1,1,0,0.6,1,0,1,0.1
3,1,0,0,0.2,1,1,0,0.1,1,0,1,0.7
4,1,0,0,0.8,1,1,0,0.2,1,0,1,0.0
5,1,0,0,0.3,1,1,0,0.6,1,0,1,0.1
6,1,0,0,0.2,1,1,0,0.1,1,0,1,0.7
7,1,0,0,0.8,1,1,0,0.2,1,0,1,0.0
8,1,0,0,0.3,1,1,0,0.6,1,0,1,0.1
9,1,0,0,0.3,1,1,0,0.6,1,0,1,0.1
10,1,0,0,0.3,1,1,0,0.6,1,0,1,0.1
11,1,0,0,0.3,1,1,0,0.6,1,0,1,0.1
12,1,0,0,0.3,1,1,0,0.6,1,0,1,0.1
13,1,0,0,0.8,1,1,0,0.2,1,0,1,0.0
14,1,0,0,0.3,1,1,0,0.6,1,0,1,0.1
15,1,0,0,0.2,1,1,0,0.1,1,0,1,0.7
16,1,0,0,0.3,1,1,0,0.6,1,0,1,0.1
